Month,"Coal, Net Summer Capacity ","Petroleum, Net Summer Capacity","Natural Gas, Net Summer Capacity ","Fossil Fuels, Net Summer Capacity","Nuclear Electric Power, Net Summer Capacity","Hydroelectric Pumped Storage, Net Summer Capacity","Conventional Hydroelectric Power, Net Summer Capacity","Wood, Net Summer Capacity","Waste, Net Summer Capacity","Geothermal, Net Summer Capacity","Solar, Net Summer Capacity ","Wind, Net Summer Capacity","Renewable Energy, Net Summer Capacity ","Battery Storage, Net Summer Capacity","Total Electric, Net Summer Capacity"
1996-11-01,Not Available,Not Available,Not Available,Not Available,100.908,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1996-12-01,313.382,72.518,174.135,561.699,100.784,21.11,76.437,6.808,3.598,2.893,0.333,1.678,91.746,Not Available,775.89
1997-01-01,Not Available,Not Available,Not Available,Not Available,100.784,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-02-01,Not Available,Not Available,Not Available,Not Available,100.784,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-03-01,Not Available,Not Available,Not Available,Not Available,100.784,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-04-01,Not Available,Not Available,Not Available,Not Available,100.784,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-05-01,Not Available,Not Available,Not Available,Not Available,100.784,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-06-01,Not Available,Not Available,Not Available,Not Available,100.784,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-07-01,Not Available,Not Available,Not Available,Not Available,100.784,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-08-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-09-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-10-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-11-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1997-12-01,313.624,72.463,176.471,564.083,99.716,19.31,79.415,6.924,3.59,2.893,0.334,1.61,94.766,Not Available,778.649
1998-01-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-02-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-03-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-04-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-05-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-06-01,Not Available,Not Available,Not Available,Not Available,99.716,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-07-01,Not Available,Not Available,Not Available,Not Available,97.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-08-01,Not Available,Not Available,Not Available,Not Available,97.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-09-01,Not Available,Not Available,Not Available,Not Available,97.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-10-01,Not Available,Not Available,Not Available,Not Available,97.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-11-01,Not Available,Not Available,Not Available,Not Available,97.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1998-12-01,315.786,66.282,180.288,563.876,97.07,19.519,79.151,6.802,3.694,2.893,0.335,1.72,94.595,Not Available,775.868
1999-01-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-02-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-03-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-04-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-05-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-06-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-07-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-08-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-09-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-10-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-11-01,Not Available,Not Available,Not Available,Not Available,97.502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1999-12-01,315.496,60.069,195.119,572.593,97.411,19.565,79.393,6.795,3.66,2.846,0.389,2.252,95.335,Not Available,785.927
2000-01-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-02-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-03-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-04-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-05-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-06-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-07-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-08-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-09-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-10-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-11-01,Not Available,Not Available,Not Available,Not Available,97.411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2000-12-01,315.113,61.836,219.59,598.881,97.86,19.522,79.359,6.148,3.87,2.793,0.387,2.377,94.934,Not Available,811.72
2001-01-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-02-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-03-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-04-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-05-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-06-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-07-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-08-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-09-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-10-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-11-01,Not Available,Not Available,Not Available,Not Available,98.159,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2001-12-01,314.231,66.162,252.833,634.897,98.159,19.664,78.917,5.882,3.749,2.216,0.392,3.864,95.02,Not Available,848.259
2002-01-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-02-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-03-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-04-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-05-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-06-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-07-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-08-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-09-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-10-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-11-01,Not Available,Not Available,Not Available,Not Available,98.657,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002-12-01,315.35,59.651,312.512,689.521,98.657,20.371,79.357,5.845,3.799,2.252,0.397,4.416,96.066,Not Available,905.302
2003-01-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-02-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-03-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-04-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-05-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-06-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-07-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-08-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-09-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-10-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-11-01,Not Available,Not Available,Not Available,Not Available,99.209,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003-12-01,313.019,60.73,355.441,731.184,99.209,20.522,78.694,5.871,3.757,2.134,0.397,5.995,96.848,Not Available,948.446
2004-01-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-02-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-03-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-04-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-05-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-06-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-07-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-08-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-09-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-10-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-11-01,Not Available,Not Available,Not Available,Not Available,99.628,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004-12-01,313.02,59.12,371.011,745.448,99.628,20.765,77.641,6.182,3.529,2.152,0.398,6.456,96.358,Not Available,962.946
2005-01-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-02-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-03-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-04-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-05-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-06-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-07-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-08-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-09-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-10-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-11-01,Not Available,Not Available,Not Available,Not Available,99.988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2005-12-01,313.38,58.548,383.06,757.051,99.988,21.347,77.54,6.194,3.608,2.286,0.411,8.706,98.745,Not Available,978.018
2006-01-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-02-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-03-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-04-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-05-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-06-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-07-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-08-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-09-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-10-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-11-01,Not Available,Not Available,Not Available,Not Available,100.334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2006-12-01,312.956,58.097,388.294,761.603,100.334,21.461,77.822,6.372,3.727,2.274,0.411,11.329,101.935,Not Available,986.214
2007-01-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-02-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-03-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-04-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-05-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-06-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-07-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-08-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-09-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-10-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-11-01,Not Available,Not Available,Not Available,Not Available,100.266,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2007-12-01,312.739,56.068,392.875,763.996,100.266,21.886,77.885,6.704,4.134,2.214,0.502,16.515,107.954,Not Available,994.89
2008-01-01,312.544,57.673,390.905,763.116,100.755,21.858,77.937,6.817,4.088,2.213,0.505,17.297,108.857,Not Available,995.817
2008-02-01,312.498,57.673,391.216,763.382,100.755,21.858,77.937,6.817,4.109,2.229,0.505,17.77,109.366,Not Available,996.592
2008-03-01,312.333,57.654,391.255,763.238,100.755,21.858,77.942,6.817,4.115,2.229,0.505,18.134,109.742,Not Available,996.823
2008-04-01,312.078,57.546,391.55,763.169,100.755,21.858,77.949,6.817,4.118,2.229,0.505,18.69,110.308,Not Available,997.321
2008-05-01,312.008,57.515,394.477,765.995,100.755,21.858,77.927,6.828,4.119,2.229,0.507,19.309,110.918,Not Available,1000.756
2008-06-01,312.235,57.564,395.502,767.295,100.755,21.858,77.927,6.854,4.121,2.229,0.507,19.403,111.04,Not Available,1002.179
2008-07-01,312.756,57.552,396.443,768.746,100.755,21.858,77.927,6.854,4.128,2.229,0.507,19.929,111.573,Not Available,1004.162
2008-08-01,312.756,57.54,396.627,768.918,100.755,21.858,77.928,6.864,4.139,2.229,0.508,20.201,111.868,Not Available,1004.629
2008-09-01,312.72,57.541,397.16,769.415,100.755,21.858,77.928,6.864,4.139,2.229,0.51,20.68,112.349,Not Available,1005.608
2008-10-01,313.269,57.552,397.139,769.955,100.755,21.858,77.931,6.864,4.151,2.229,0.511,21.482,113.167,Not Available,1006.966
2008-11-01,313.269,57.56,397.295,770.118,100.755,21.858,77.931,6.864,4.158,2.229,0.516,21.804,113.501,Not Available,1007.463
2008-12-01,313.322,57.445,397.184,769.945,100.755,21.858,77.93,6.864,4.186,2.229,0.536,24.651,116.396,Not Available,1010.171
2009-01-01,313.03,57.268,397.647,769.924,101.004,22.16,78.497,6.88,4.111,2.218,0.537,26.142,118.385,Not Available,1012.677
2009-02-01,313.105,57.266,397.966,770.316,101.004,22.16,78.498,6.88,4.118,2.218,0.54,27.112,119.366,Not Available,1014.056
2009-03-01,313.104,57.266,397.872,770.221,101.004,22.16,78.499,6.875,4.135,2.279,0.541,27.685,120.012,Not Available,1014.611
2009-04-01,313.25,57.215,398.091,770.489,101.004,22.16,78.506,6.875,4.141,2.279,0.541,28.576,120.917,Not Available,1015.783
2009-05-01,314.145,57.216,396.912,770.205,101.004,22.16,78.506,6.875,4.164,2.279,0.546,28.844,121.214,Not Available,1015.796
2009-06-01,314.17,56.803,399.383,772.288,101.004,22.16,78.506,6.895,4.186,2.279,0.546,29.268,121.68,Not Available,1018.345
2009-07-01,314.17,56.808,400.331,773.24,101.004,22.16,78.506,6.95,4.302,2.279,0.549,29.479,122.064,Not Available,1019.687
2009-08-01,314.168,56.805,401.971,774.877,101.004,22.16,78.506,6.95,4.323,2.279,0.551,30.03,122.639,Not Available,1021.898
2009-09-01,314.168,56.807,401.999,774.907,101.004,22.16,78.521,6.943,4.329,2.279,0.554,30.984,123.609,Not Available,1022.898
2009-10-01,313.975,56.8,400.357,773.065,101.004,22.16,78.521,6.943,4.331,2.343,0.579,32.205,124.922,Not Available,1022.375
2009-11-01,313.975,56.804,401.579,774.29,101.004,22.16,78.521,6.943,4.335,2.382,0.58,32.583,125.345,Not Available,1024.023
2009-12-01,314.294,56.781,400.93,773.937,101.004,22.16,78.518,6.939,4.317,2.382,0.619,34.296,127.07,Not Available,1025.4
2010-01-01,314.184,55.886,400.705,772.841,101.167,22.199,78.805,7.056,4.283,2.392,0.629,34.768,127.933,0.027,1026.967
2010-02-01,314.806,55.559,401.02,773.474,101.167,22.199,78.805,7.056,4.293,2.392,0.629,34.882,128.058,0.027,1027.724
2010-03-01,314.751,55.565,401.883,774.288,101.167,22.199,78.805,7.056,4.301,2.392,0.63,35.261,128.446,0.027,1028.927
2010-04-01,315.671,55.559,401.717,775.036,101.167,22.199,78.821,7.054,4.304,2.392,0.671,35.362,128.604,0.027,1029.833
2010-05-01,316.464,55.562,402.463,776.579,101.167,22.199,78.821,7.054,4.321,2.392,0.673,35.529,128.79,0.027,1031.562
2010-06-01,316.464,55.688,404.078,778.398,101.167,22.199,78.822,7.054,4.323,2.392,0.688,35.599,128.878,0.027,1033.469
2010-07-01,317.23,55.749,404.093,779.24,101.167,22.199,78.822,7.054,4.336,2.392,0.688,35.603,128.895,0.027,1034.327
2010-08-01,318.08,55.723,404.093,780.057,101.167,22.199,78.822,7.054,4.336,2.392,0.695,36.153,129.452,0.028,1035.708
2010-09-01,318.39,55.679,404.951,781.181,101.167,22.199,78.822,7.088,4.345,2.392,0.721,36.381,129.75,0.028,1037.129
2010-10-01,318.39,55.681,404.939,781.172,101.167,22.199,78.825,7.111,4.354,2.392,0.738,36.931,130.35,0.028,1037.72
2010-11-01,318.032,55.653,404.684,780.53,101.167,22.199,78.825,7.111,4.371,2.392,0.762,37.34,130.8,0.028,1037.535
2010-12-01,317.339,55.647,405.112,780.26,101.167,22.199,78.825,7.037,4.369,2.405,0.866,39.135,132.636,0.028,1039.062
2011-01-01,317.26,52.641,407.295,779.152,101.163,22.181,78.583,7.022,4.45,2.41,0.89,40.074,133.428,0.036,1037.264
2011-02-01,317.26,51.917,407.185,778.313,101.163,22.181,78.583,7.022,4.458,2.411,0.89,40.777,134.141,0.036,1037.158
2011-03-01,317.142,51.871,408.108,779.073,101.163,22.181,78.586,7.022,4.467,2.411,0.91,41.457,134.852,0.036,1038.629
2011-04-01,317.982,51.861,408.206,780.001,101.163,22.181,78.606,7.042,4.464,2.411,0.919,41.748,135.189,0.036,1039.894
2011-05-01,317.461,51.867,410.963,782.243,101.163,22.243,78.63,7.04,4.478,2.411,0.928,42.139,135.625,0.036,1042.634
2011-06-01,318.366,52.038,412.615,784.974,101.277,22.293,78.64,7.025,4.487,2.411,0.96,42.343,135.866,0.036,1045.77
2011-07-01,318.366,52.032,414.228,786.561,101.277,22.293,78.645,7.025,4.497,2.411,0.976,42.706,136.259,0.036,1047.749
2011-08-01,318.366,52.026,414.344,786.67,101.347,22.293,78.645,7.025,4.496,2.412,1.091,42.883,136.553,0.036,1048.202
