Month,"Coal Electric Power Sector, Net Summer Capacity","Petroleum Electric Power Sector, Net Summer Capacity","Natural Gas Electric Power Sector, Net Summer Capacity","Fossil Fuels Electric Power Sector, Net Summer Capacity","Nuclear Electric Power Sector, Net Summer Capacity","Hydroelectric Pumped Storage Electric Power Sector, Net Summer Capacity","Conventional Hydroelectric Power Electric Power Sector, Net Summer Capacity","Wood Electric Power Sector, Net Summer Capacity","Waste Electric Power Sector, Net Summer Capacity","Geothermal Electric Power Sector, Net Summer Capacity ","Solar Electric Power Sector, Net Summer Capacity","Wind Electric Power Sector, Net Summer Capacity","Renewable Energy Electric Power Sector, Net Summer Capacity ","Battery Storage Electric Power Sector, Net Summer Capacity","Total Electric Power Sector, Net Summer Capacity"
2017-08-01,257.04,32.105,438.089,727.597,99.629,22.81,79.405,3.048,4.241,2.451,23.961,83.885,196.99,0.674,1048.569
2017-09-01,256.856,32.108,438.092,727.418,99.629,22.81,79.405,3.048,4.241,2.451,24.176,84.134,197.454,0.675,1048.856
2017-10-01,256.279,32.108,438.29,727.04,99.629,22.81,79.441,3.048,4.241,2.451,24.508,84.383,198.072,0.677,1049.097
2017-11-01,256.128,32.083,438.268,726.842,99.629,22.81,79.44,3.048,4.241,2.451,25.068,85.347,199.595,0.679,1050.424
2017-12-01,254.38,32.078,439.509,726.329,99.629,22.81,79.437,3.042,4.234,2.483,26.612,87.497,203.307,0.661,1053.605
2018-01-01,249.631,32.778,440.723,723.494,99.731,22.785,79.488,2.949,4.231,2.404,27.368,88.45,204.89,0.66,1051.745
2018-02-01,248.423,32.762,440.113,721.661,99.731,22.785,79.5,2.949,4.209,2.404,27.467,88.674,205.203,0.663,1050.228
2018-03-01,247.682,32.756,440.037,720.836,99.731,22.785,79.502,2.949,4.209,2.392,27.992,88.674,205.718,0.677,1049.932
2018-04-01,246.504,32.747,444.715,724.329,99.731,22.785,79.509,2.949,4.209,2.392,28.26,88.974,206.293,0.688,1054.011
2018-05-01,246.504,32.753,446.545,726.164,99.731,22.83,79.47,2.949,4.207,2.392,28.687,88.974,206.679,0.692,1056.281
2018-06-01,243.308,32.535,447.298,723.503,99.731,22.83,79.47,2.949,4.181,2.392,28.845,89.115,206.953,0.738,1053.939
2018-07-01,243.308,32.544,448.615,724.829,99.731,22.83,79.468,2.949,4.174,2.392,28.983,89.272,207.239,0.738,1055.551
2018-08-01,243.308,32.535,449.661,725.866,99.731,22.83,79.468,2.931,4.17,2.392,29.062,89.354,207.377,0.743,1056.733
2018-09-01,243.014,32.532,450.034,725.941,99.278,22.83,79.468,2.931,4.17,2.392,29.375,89.824,208.16,0.745,1057.139
2018-10-01,242.738,32.529,451.518,727.147,99.278,22.83,79.47,2.931,4.169,2.392,29.544,90.161,208.667,0.765,1058.872
2018-11-01,242.327,32.492,451.979,727.16,99.433,22.83,79.592,2.876,4.167,2.392,30.076,90.416,209.518,0.766,1059.893
2018-12-01,240.686,30.834,453.677,725.559,99.433,22.83,79.588,2.876,4.167,2.395,31.501,94.299,214.826,0.848,1063.681
2019-01-01,239.524,30.275,453.435,723.596,99.44,22.721,79.597,2.886,4.034,2.478,32.259,95.166,216.421,0.864,1063.318
2019-02-01,237.269,30.278,453.453,721.362,99.44,22.721,79.593,2.886,4.034,2.478,32.47,95.632,217.093,0.889,1061.781
2019-03-01,236.038,30.255,455.355,722.011,99.44,22.721,79.608,2.803,3.999,2.478,32.699,96.491,218.078,0.918,1063.445
2019-04-01,234.642,30.114,456.075,721.193,99.595,22.721,79.608,2.803,3.988,2.486,32.807,96.492,218.185,0.918,1062.889
2019-05-01,233.892,30.114,458.452,722.82,98.922,22.721,79.589,2.788,3.987,2.486,32.869,96.722,218.44,0.923,1064.102
2019-06-01,233.844,30.112,459.876,724.194,98.922,22.778,79.589,2.788,3.967,2.486,33.149,97.966,219.945,0.943,1067.059
2019-07-01,232.862,30.106,460.003,723.332,98.922,22.778,79.591,2.788,3.971,2.486,33.405,98.241,220.483,0.951,1066.742
2019-08-01,232.862,30.118,460.003,723.344,98.922,22.778,79.487,2.788,3.969,2.486,33.629,98.625,220.983,0.952,1067.297
2019-09-01,231.924,30.1,459.967,722.353,98.119,22.778,79.487,2.699,3.958,2.486,33.882,99.546,222.058,0.96,1066.585
2019-10-01,231.163,30.099,459.33,720.955,98.119,22.778,79.483,2.662,3.956,2.486,34.328,99.544,222.458,0.964,1065.591
2019-11-01,227.241,30.099,459.293,716.996,98.119,22.778,79.483,2.662,3.956,2.506,34.979,100.621,224.206,0.967,1063.383
2019-12-01,226.809,30.033,459.517,716.721,98.119,22.778,79.484,2.727,3.94,2.506,37.029,103.453,229.139,0.974,1068.049
2020-01-01,222.414,27.364,463.571,713.71,98.094,22.918,79.477,2.711,3.92,2.505,38.387,104.472,231.472,0.998,1067.483
2020-02-01,222.372,27.344,464.87,714.947,98.094,22.918,79.477,2.673,3.92,2.505,38.81,104.549,231.935,1.01,1069.195
2020-03-01,221.497,27.112,465.839,714.809,98.094,22.918,79.477,2.673,3.919,2.505,39.04,106.084,233.699,1.034,1070.846
2020-04-01,221.517,27.111,466.981,715.97,97.082,22.918,79.477,2.673,3.919,2.501,39.711,106.364,234.646,1.05,1071.958
2020-05-01,220.797,27.109,468.808,717.076,97.082,22.918,79.481,2.673,3.918,2.501,40.077,107.222,235.873,1.064,1074.304
2020-06-01,219.43,27.108,468.555,715.455,97.082,22.918,79.481,2.659,3.842,2.523,41.158,107.604,237.266,1.067,1074.079
2020-07-01,219.43,27.111,468.632,715.535,97.082,22.918,79.509,2.659,3.842,2.523,41.746,107.815,238.093,1.32,1075.239
2020-08-01,218.29,27.111,468.617,714.38,97.082,22.918,79.505,2.697,3.843,2.523,42.35,108.346,239.264,1.352,1075.287
2020-09-01,217.132,27.101,468.562,713.156,97.082,22.918,79.63,2.697,3.845,2.523,42.959,109.123,240.776,1.352,1075.575
2020-10-01,215.993,27.073,468.198,711.626,97.102,22.998,79.631,2.697,3.842,2.523,43.328,109.447,241.468,1.376,1074.862
2020-11-01,215.58,27.073,468.517,711.532,96.501,22.998,79.631,2.697,3.842,2.523,44.195,111.179,244.067,1.399,1076.788
2020-12-01,213.95,26.182,468.16,708.654,96.501,23.016,79.636,2.697,3.835,2.523,47.586,118.031,254.308,1.464,1084.234
2021-01-01,213.102,27.371,468.142,708.977,96.586,23.008,79.539,2.593,3.691,2.523,48.224,118.875,255.444,1.6,1085.878
2021-02-01,213.102,27.371,468.121,708.955,96.586,23.008,79.539,2.593,3.69,2.523,48.918,119.841,257.104,1.609,1087.526
2021-03-01,212.553,27.372,468.261,708.548,96.586,23.008,79.538,2.45,3.68,2.523,50.533,120.974,259.698,1.738,1089.842
2021-04-01,212.211,27.37,468.585,708.528,95.546,23.008,79.541,2.45,3.68,2.523,51.045,121.743,260.982,1.914,1090.243
2021-05-01,211.653,27.369,468.547,707.93,95.546,23.008,79.571,2.45,3.669,2.523,51.709,123.082,263.004,2.455,1092.208
2021-06-01,210.68,26.845,469.067,706.954,95.546,23.008,79.608,2.45,3.66,2.523,52.435,124.729,265.405,2.737,1093.915
2021-07-01,210.68,26.828,469.968,707.838,95.546,23.008,79.608,2.435,3.658,2.523,53.203,125.997,267.423,2.997,1097.077
2021-08-01,210.68,26.829,470.664,708.536,95.546,23.008,79.608,2.435,3.658,2.523,54.68,126.335,269.238,3.065,1099.658
2021-09-01,210.68,26.822,470.51,708.375,95.546,23.008,79.611,2.435,3.646,2.523,55.7,126.684,270.598,3.258,1101.05
2021-10-01,209.777,26.806,471.789,708.734,95.546,23.008,79.611,2.435,3.656,2.523,56.441,128.1,272.765,3.719,1104.037
2021-11-01,209.765,26.787,471.815,708.729,95.546,23.008,79.611,2.435,3.653,2.523,57.455,129.226,274.902,4.37,1106.82
2021-12-01,208.326,26.785,473.459,708.932,95.546,23.008,79.611,2.435,3.652,2.523,61.009,132.629,281.858,4.698,1114.308
2022-01-01,200.598,29.765,479.649,710.374,95.406,23.013,79.747,2.445,3.053,2.593,62.268,133.585,283.69,4.948,1117.629
2022-02-01,200.569,29.765,479.693,710.389,95.406,23.013,79.747,2.445,3.052,2.593,62.591,133.845,284.272,5.02,1118.298
2022-03-01,199.377,29.724,479.365,708.828,95.406,23.013,79.761,2.445,3.037,2.593,63.567,134.954,286.356,5.267,1119.068
2022-04-01,198.932,29.602,479.433,708.328,95.406,23.013,79.761,2.445,3.037,2.61,64.022,137.257,289.131,6.007,1122.083
2022-05-01,197.408,29.608,481.553,708.93,95.427,23.044,79.761,2.427,3.034,2.61,64.782,137.451,290.066,6.015,1123.679
2022-06-01,194.42,29.439,482.715,706.936,94.659,23.044,79.761,2.427,3.038,2.61,65.995,137.881,291.711,6.545,1123.093
2022-07-01,194.438,29.438,483.778,708.015,94.659,23.044,79.761,2.427,2.978,2.639,66.582,137.873,292.26,6.892,1125.067
2022-08-01,193.413,29.443,483.681,706.898,94.659,23.044,79.761,2.427,2.978,2.661,67.285,137.878,292.99,7.421,1125.21
2022-09-01,190.982,29.356,483.654,704.353,94.659,23.044,79.762,2.427,2.97,2.661,68.068,137.878,293.766,7.909,1123.928
2022-10-01,190.982,29.326,483.654,704.323,94.659,23.044,79.763,2.427,2.967,2.621,68.604,137.898,294.279,8.582,1125.084
2022-11-01,190.827,29.295,483.977,704.461,94.659,23.044,79.766,2.427,2.954,2.649,69.431,139.599,296.826,8.659,1127.847
2022-12-01,187.872,29.248,483.615,701.097,94.659,23.044,79.771,2.414,2.922,2.649,72.248,141.275,301.28,8.929,1129.205
2023-01-01,185.399,28.183,484.851,698.795,94.598,23.058,79.693,2.416,2.865,2.658,73.712,141.407,302.751,9.184,1128.586
2023-02-01,185.389,28.186,486.039,699.975,94.598,23.058,79.693,2.416,2.764,2.658,74.264,142.121,303.915,9.27,1131.016
2023-03-01,184.584,28.177,486.063,699.186,94.598,23.138,79.693,2.416,2.764,2.623,74.807,142.534,304.837,9.569,1131.528
2023-04-01,184.584,28.18,487.632,700.758,94.598,23.147,79.711,2.416,2.764,2.684,75.741,142.85,306.166,9.738,1134.607
2023-05-01,183.092,28.137,486.743,698.334,94.598,23.147,79.682,2.416,2.764,2.684,76.841,143.635,308.021,9.89,1134.19
2023-06-01,180.939,27.991,487.71,697.001,94.598,23.147,79.683,2.416,2.764,2.684,78.461,143.605,309.613,10.794,1135.353
2023-07-01,180.29,27.993,488.515,697.16,95.712,23.147,79.683,2.331,2.764,2.684,79.786,144.104,311.353,12.279,1139.85
2023-08-01,179.677,28.004,488.515,696.557,95.712,23.147,79.683,2.331,2.76,2.672,80.507,144.192,312.145,12.762,1140.523
2023-09-01,178.812,28.006,488.132,695.311,95.712,23.147,79.681,2.331,2.76,2.696,81.465,144.296,313.227,13.467,1141.064
2023-10-01,178.327,28.006,488.133,694.828,95.712,23.147,79.685,2.331,2.753,2.696,83.229,145.109,315.803,13.715,1143.405
2023-11-01,178.327,28.003,488.825,695.516,95.712,23.147,79.685,2.331,2.755,2.696,84.224,145.109,316.801,14.147,1145.522
2023-12-01,177.019,27.992,488.901,694.273,95.712,23.147,79.691,2.331,2.738,2.696,91.314,147.322,326.091,15.942,1155.365
2024-01-01,175.991,28.018,489.915,694.286,95.712,23.147,79.543,2.331,2.729,2.696,94.032,148.18,329.51,15.776,1158.63
2024-02-01,175.991,28.018,489.915,694.286,95.712,23.147,79.543,2.331,2.729,2.696,94.615,148.382,330.295,15.812,1159.451
2024-03-01,175.775,28.02,489.212,693.369,95.712,23.227,79.543,2.331,2.729,2.696,97.544,148.542,333.384,16.855,1162.747
2024-04-01,175.149,28.001,489.275,692.759,96.826,23.227,79.543,2.331,2.701,2.696,98.945,149.67,335.886,17.538,1166.435
2024-05-01,174.653,27.993,489.351,692.331,96.826,23.227,79.543,2.331,2.69,2.696,101.327,149.922,338.508,18.611,1169.703
2024-06-01,174.473,27.894,487.947,690.648,96.826,23.227,79.535,2.331,2.69,2.696,103.96,149.952,341.163,19.852,1171.916
2024-07-01,174.473,27.895,488.749,691.451,96.826,23.227,79.535,2.331,2.69,2.696,104.906,150.653,342.81,20.597,1175.11
2024-08-01,174.473,27.895,488.749,691.451,96.826,23.227,79.54,2.331,2.693,2.696,106.1,150.837,344.196,21.52,1177.42
2024-09-01,174.214,27.895,488.749,691.192,96.826,23.227,79.541,2.331,2.693,2.696,108.237,150.975,346.473,22.385,1180.302
