Month,Petroleum Exports to Brazil,Petroleum Exports to Canada,Petroleum Exports to China,Petroleum Exports to India,Petroleum Exports to Japan,Petroleum Exports to Mexico,Petroleum Exports to Netherlands,Petroleum Exports to Singapore,Petroleum Exports to South Korea,Petroleum Exports to United Kingdom,Petroleum Exports to Other Countries,Total Petroleum Exports
1974-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,195.613
1974-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,243.333
1974-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,246.548
1974-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,238.4
1974-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,253.194
1974-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,247.226
1974-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,170.867
1974-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,220.871
1974-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,186.467
1974-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,231.097
1975-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,228.065
1975-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,248.0
1975-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,213.097
1975-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,190.433
1975-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,202.419
1975-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,224.433
1975-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,185.677
1975-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,202.871
1975-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,205.3
1975-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,186.968
1975-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,165.9
1975-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,261.613
1976-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,155.774
1976-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,241.276
1976-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,184.677
1976-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,222.0
1976-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,179.419
1976-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,212.767
1976-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,242.484
1976-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,220.0
1976-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,195.9
1976-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,197.774
1976-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,347.8
1976-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,279.484
1977-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,192.032
1977-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,234.393
1977-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,206.806
1977-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,223.367
1977-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,288.258
1977-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,224.967
1977-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,253.645
1977-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,229.742
1977-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,294.033
1977-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,255.129
1977-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,235.167
1977-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,274.355
1978-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,256.548
1978-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,208.25
1978-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,268.645
1978-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,337.0
1978-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,312.935
1978-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,398.6
1978-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,329.839
1978-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,410.806
1978-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,476.9
1978-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,468.839
1978-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,408.667
1978-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,455.323
1979-01-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,392.387
1979-02-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,485.929
1979-03-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,610.839
1979-04-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,493.467
1979-05-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,428.903
1979-06-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,467.767
1979-07-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,486.032
1979-08-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,466.258
1979-09-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,413.733
1979-10-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,425.097
1979-11-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,509.7
1979-12-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,471.452
1980-01-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,549.71
1980-02-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,558.276
1980-03-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,572.903
1980-04-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,433.733
1980-05-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,591.258
1980-06-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,654.167
1980-07-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,530.645
1980-08-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,318.516
1980-09-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,556.833
1980-10-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,597.516
1980-11-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,548.8
1980-12-01,Not Available,Not Available,No Data Reported,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,622.032
1981-01-01,0.516,111.968,No Data Reported,4.677,41.71,22.71,11.194,18.548,0.355,6.194,340.004,557.875
1981-02-01,1.036,106.143,No Data Reported,0.429,28.607,24,45.25,58.214,4,4.536,296.921,569.135
1981-03-01,0.452,21.032,No Data Reported,2.548,45.839,23.839,3.29,0.097,1.968,4.065,482.98,586.109
1981-04-01,1.333,49.8,No Data Reported,0.1,16.5,30,15.867,37.467,14.633,0.533,403.534,569.767
1981-05-01,0.645,101.355,No Data Reported,0.097,38.71,25.194,31.419,4.742,0.29,3.968,388.672,595.091
1981-06-01,0.733,48.167,No Data Reported,0.4,29.2,25.267,22.867,0.633,17.567,9.3,266.238,420.371
1981-07-01,0.452,96.613,No Data Reported,1,39.645,19.71,8.097,24.968,0.387,4.581,375.923,571.375
1981-08-01,0.323,185.774,No Data Reported,0.161,33.774,19.194,6.677,15.548,15.032,2.097,365.32,643.9
1981-09-01,0.5,21.867,No Data Reported,1.7,45.233,23.333,92.467,0.167,8.467,1.933,323.591,519.258
1981-10-01,0.968,144.613,No Data Reported,0.097,47.097,23.29,130.581,0.258,33.161,6.194,351.662,737.921
1981-11-01,0.433,100.8,No Data Reported,1.267,58.367,30.167,87.467,0.2,15.7,0.333,406.035,700.769
1981-12-01,0.097,79,No Data Reported,0.032,34.968,42.871,49.839,0.194,28.161,20.645,399.734,655.541
1982-01-01,1.258,94.871,No Data Reported,1.065,62.742,47.968,129.903,7.968,28.161,32.226,422.644,828.805
1982-02-01,1.357,82.571,No Data Reported,1.393,88.714,41.143,94.893,34.286,15.857,11.321,432.271,803.806
1982-03-01,15.645,102.903,No Data Reported,0.226,40.71,100.871,98.742,0.194,39,20.645,463.1,882.036
1982-04-01,1.067,86.767,No Data Reported,0,57.467,63.8,81.767,8.533,14.6,27.533,443.967,785.501
1982-05-01,10.516,43.484,No Data Reported,0.161,57.226,94.258,96.452,18.097,42.097,6.484,434.712,803.486
1982-06-01,34.6,81.833,No Data Reported,6.5,40.433,46.333,40.133,6.8,19.7,1.467,425.309,703.109
1982-07-01,3.645,48.548,No Data Reported,0.839,45.581,62.613,85.323,43.968,0.194,3.581,446.726,741.017
1982-08-01,2.774,82.355,No Data Reported,0.065,113.548,36.29,49.742,40.71,43.935,15.161,473.042,857.623
1982-09-01,14.367,119.633,No Data Reported,1.133,79.767,48.1,94.867,18.467,24.9,8.733,380.616,790.583
1982-10-01,4.645,150.806,No Data Reported,0.161,69.548,32.097,76.645,20.548,13.097,14.839,549.553,931.94
1982-11-01,3.333,78.833,No Data Reported,0.3,108.467,28.8,49.633,28.533,47.1,1.5,439.562,786.062
1982-12-01,4.548,50.484,No Data Reported,0.903,54.806,35.581,122.677,15.419,44.258,25.548,505.684,859.91
1983-01-01,7,127.613,No Data Reported,0.065,104.677,33.742,149.323,71.484,40.323,25.419,413.7,973.345
1983-02-01,0,39.857,No Data Reported,0.036,109.786,26.821,54.786,93.786,6.464,1.821,532.007,865.365
1983-03-01,0.29,105.613,No Data Reported,2.548,106.323,25.71,65.258,82.968,5.065,1.71,405.288,800.772
1983-04-01,0.333,61.367,No Data Reported,0.167,221.4,16.533,29.467,112.7,17.133,11.933,338.047,809.08
1983-05-01,0.032,67.032,No Data Reported,0.968,111.871,22.452,47.839,57.548,20,10.613,509.932,848.286
1983-06-01,9.167,65,No Data Reported,0.233,88.667,36.2,36.233,50.833,23.733,6.467,457.493,774.027
1983-07-01,2.935,58.645,No Data Reported,0.032,83.484,26.452,54.774,0.194,5.806,0.871,338.131,571.325
1983-08-01,0.935,43.774,No Data Reported,2.032,100,22.419,45.355,16.903,22.581,14.323,394.849,663.172
1983-09-01,0.367,115.733,No Data Reported,1.367,66.867,20.767,27.667,4.5,17.4,4.8,424.905,684.372
1983-10-01,0,51.742,No Data Reported,0.71,93.806,17.613,6.323,18.484,0.452,2.194,384.59,575.912
1983-11-01,0,46.8,No Data Reported,0,99.033,22.7,38.933,0.167,21.433,1.3,448.94,679.307
1983-12-01,2.677,134.194,No Data Reported,0.29,70.065,18.581,29.935,16.323,0.516,17.871,348.355,638.807
1984-01-01,0.097,69.226,No Data Reported,0.323,75.774,20.226,23.226,0.194,11.194,0.226,374.73,575.214
1984-02-01,0.034,61.138,No Data Reported,1.31,51.069,17.793,26.207,0.103,0.207,2.655,421.33,581.847
1984-03-01,0.839,100.613,No Data Reported,0.71,54.645,29.581,26.871,10.806,22.161,1.29,592.618,840.134
1984-04-01,1.5,62.1,No Data Reported,0.033,92.667,28.433,45.467,6.567,25.6,0.167,392.486,655.02
1984-05-01,0.452,58.387,No Data Reported,0.065,71.742,14.806,36.903,22.968,6.903,36.032,518.052,766.31
1984-06-01,0.1,60.9,No Data Reported,0.267,147.7,32.667,24,16.9,10.333,0.233,571.043,864.143
1984-07-01,6.226,76.581,No Data Reported,0,85.355,23.129,15.29,0.774,22.742,10.097,296.118,536.312
1984-08-01,0.097,98.839,No Data Reported,0.419,138.742,40.226,26.29,37.065,8.258,1.355,380.682,731.972
1984-09-01,2.667,35.9,No Data Reported,0.767,96.3,31.133,68.3,0.3,36.433,3.4,388.631,663.831
1984-10-01,2.968,115.742,No Data Reported,1,64.032,47.935,43.516,0.097,20.516,16.387,287.232,599.426
1984-11-01,1.467,79.6,No Data Reported,2.333,121.1,56.5,60.267,0.233,23.9,44.3,464.492,854.192
1984-12-01,0.387,174.452,No Data Reported,0.129,104.645,72.548,53.452,14.258,15.839,56.226,493.779,985.714
1985-01-01,8.129,83.387,No Data Reported,8.258,85.516,75.452,52.355,15.581,7.645,41.613,413.805,791.74
1985-02-01,2.75,87.5,No Data Reported,0.964,109.429,78.893,28.607,20.143,49.464,47.857,431.293,856.9
1985-03-01,2.258,61.032,No Data Reported,0.903,142.226,47.613,15.323,9.742,50.161,6.097,358.152,693.507
1985-04-01,0.967,68.2,No Data Reported,0.9,136.067,72.067,22.3,32.1,4.167,9.567,417.177,763.511
1985-05-01,1.194,40.323,No Data Reported,0.806,79.387,41.129,36.903,40.097,33.742,1,430.815,705.395
1985-06-01,4.733,55.167,No Data Reported,0.167,93.3,68.167,41.233,2.533,42.733,3.267,380.781,692.081
1985-07-01,2.323,66.065,No Data Reported,0.935,78.419,39.419,48.677,16,13.548,8.645,401.182,675.215
1985-08-01,3.484,69.419,No Data Reported,0.097,62.419,54.516,83.806,32.258,10.484,4.29,427.994,748.769
1985-09-01,0.9,43.067,No Data Reported,0.967,117.9,36.167,40.7,88.433,31.6,17.9,428.35,805.984
1985-10-01,2.419,82.452,No Data Reported,0.065,98.194,43.387,35.742,14.806,2.452,2.839,407.882,690.237
1985-11-01,3.4,116.633,No Data Reported,0.067,132.167,83.6,64.733,16.933,29.333,26.4,563.171,1036.438
1985-12-01,0.935,114.839,No Data Reported,8.323,164.226,91.323,57.258,4.452,52.065,5.097,426.79,925.306
1986-01-01,2.226,100.548,No Data Reported,0.032,134.323,63.097,47.194,25.161,7.581,7.742,470.801,858.704
1986-02-01,3.357,105.25,No Data Reported,0.393,100.357,81.464,92.393,16.25,19.536,3.357,453.694,876.052
1986-03-01,3.194,84.645,No Data Reported,0.484,68.871,57.452,73.613,15.29,15.645,18.774,393.787,731.754
1986-04-01,1.567,97.667,No Data Reported,0.233,107.767,63.933,107.567,66.767,16.3,6,382.195,849.995
1986-05-01,8.258,70.774,No Data Reported,0.71,93.129,59.226,84.516,5.742,3.677,5.613,391.979,723.624
1986-06-01,3.8,62.367,No Data Reported,0.7,51.333,28.7,53.467,0.3,0.333,6.8,433.738,641.538
1986-07-01,0.806,75.581,No Data Reported,0.742,130.839,87.839,38.806,0.065,7.129,5.677,337.849,685.333
1986-08-01,1.871,87.806,No Data Reported,0.065,114.516,54.548,23.129,0.29,1.29,10.516,573.797,867.83
1986-09-01,2.6,72.433,No Data Reported,0.833,81.9,23.667,39.467,1.033,1.7,14.033,476.611,714.278
1986-10-01,0.355,87.645,No Data Reported,0.71,147.129,69.484,23.355,7.032,25.29,12,457.559,830.559
1986-11-01,3.8,105.1,No Data Reported,0.033,158.5,37.933,41.533,25.933,31.367,6.9,409.638,820.738
1986-12-01,0.032,73.387,No Data Reported,0.258,123.516,47.613,71.161,34.613,16.065,3.806,449.402,819.854
1987-01-01,0.387,69.387,No Data Reported,0.258,106.581,66.065,64.355,32.839,27.871,10.452,324.754,702.948
1987-02-01,0.679,93.321,No Data Reported,1.464,143.536,42.786,35.75,34.143,46.036,0.5,578.87,977.084
1987-03-01,0.032,66.161,No Data Reported,0.323,121.419,79.581,45.065,0.258,30.581,3.839,372.61,719.868
1987-04-01,2.667,90.067,No Data Reported,0.067,100.567,63.4,28.5,23.067,40.567,0.733,520.864,870.498
1987-05-01,4.548,54.452,No Data Reported,0.226,151.548,63.323,19,26.194,16.29,13.226,316.991,665.798
1987-06-01,1.433,48.767,No Data Reported,0.9,127.533,56.267,41.967,2,26.067,0.533,363.801,669.268
1987-07-01,3.29,69.387,No Data Reported,0.065,138.677,54.032,44.194,1.742,2.419,0.968,365.389,680.163
1987-08-01,0.032,73.097,No Data Reported,0.484,74.806,45,46.29,19.548,15.548,0.323,388.948,664.077
1987-09-01,0.567,90.367,No Data Reported,0.133,146,104.333,54.3,0.033,8.833,19.967,370.954,795.487
1987-10-01,2.742,97.129,No Data Reported,0.355,93.516,55.548,8.645,0.323,30.774,3.645,352.993,645.67
1987-11-01,1.033,123.6,No Data Reported,0.1,78.133,86.667,46.833,0.1,22.467,2.833,375.052,736.819
1987-12-01,1.194,119.968,No Data Reported,0.419,159.032,121.129,35.774,12.226,34.677,20.097,552.795,1057.311
1988-01-01,0.29,55.387,No Data Reported,0.161,173.71,59.548,57.71,0.194,31.484,6.903,499.638,885.025
1988-02-01,6.621,95.448,No Data Reported,0.069,170.724,60.724,25.862,29.276,26.931,18.138,430.118,863.911
1988-03-01,0.323,131.161,No Data Reported,0.581,123.161,57.581,27,3.903,4.613,0.935,485.091,834.349
1988-04-01,0.2,77.667,No Data Reported,0.167,94.967,59.933,4.667,14.3,38.2,0.9,384.972,675.972
1988-05-01,0.581,72.194,No Data Reported,1.097,121.323,66.129,33.258,51.935,13.71,18.871,434.739,813.836
1988-06-01,3.933,94.3,No Data Reported,0.3,160.267,57,41.8,38.1,15.2,3.833,523.084,937.818
1988-07-01,1.387,70.419,No Data Reported,0.032,109.516,69.419,52.194,19.161,27.419,3.935,472.452,825.936
1988-08-01,11.387,86.484,No Data Reported,0.323,104.613,73.29,6.032,10.645,13.613,4.935,502.204,813.527
1988-09-01,2.867,79.733,No Data Reported,1.8,83.967,45.833,37.9,0.167,9.267,11.8,399.28,672.613
1988-10-01,2.097,58.194,No Data Reported,0.226,94.903,88,13.903,1.548,11.032,6.774,455.683,732.36
1988-11-01,3.333,92.667,No Data Reported,0.733,87.833,80.533,30.633,0.5,25.7,25.2,369.814,716.948
1988-12-01,2.581,91.839,No Data Reported,0.774,165.516,124.903,19.226,1.419,65.065,9.065,527.874,1008.261
1989-01-01,0.032,74.419,No Data Reported,0.065,182.452,78.935,31.677,10.419,15,5.677,361.937,760.614
1989-02-01,2,95.929,No Data Reported,1.536,88.286,101.786,67.5,5.393,15.179,0.321,496.875,874.803
1989-03-01,5.129,57.871,No Data Reported,1.161,158.419,119.806,18.29,16.548,5.355,10.548,466.978,860.107
1989-04-01,0.167,86.8,No Data Reported,0.2,88.633,63.8,23.2,22.433,14.833,14.2,495.59,809.856
1989-05-01,0.968,63.258,No Data Reported,2.387,87.935,109.871,18.613,60,23.258,3.097,422.092,791.479
1989-06-01,5.4,73.467,No Data Reported,0.267,90.133,117.967,49.233,0.3,8.667,8.267,621.166,974.866
1989-07-01,3.032,73.484,No Data Reported,1.71,109.355,113.903,22.968,0.097,4.161,13.194,438.189,780.092
1989-08-01,10.419,101.065,No Data Reported,4.032,149.097,89.161,36.839,13.71,3.258,0.194,558.741,966.515
1989-09-01,10.467,73.8,No Data Reported,1.7,81.133,65.9,37.467,23.633,13.133,30.433,317.798,655.464
1989-10-01,2.29,147.903,No Data Reported,0.419,98.194,68.613,28.258,21.29,19.677,5.516,398.625,790.787
1989-11-01,11.967,118.033,No Data Reported,0.533,172.1,72.567,58.2,18.167,38.8,16,468.258,974.624
1989-12-01,3,140.871,No Data Reported,1.226,153.129,68.065,46.774,14.032,41.194,5.903,593.009,1067.203
1990-01-01,1.065,28.968,No Data Reported,0.032,90.677,110.129,32.774,15.677,13.194,0.29,416.481,709.288
1990-02-01,2.214,98.25,No Data Reported,0.893,79.393,102.536,30.214,8,31.893,5.75,462.868,822.011
1990-03-01,0.032,87.194,No Data Reported,0.032,123.258,99,41.774,0.194,65.968,5.742,456.938,880.131
1990-04-01,4.467,86.4,No Data Reported,0.1,79.133,70.933,34.533,6.367,75.067,4.2,399.509,760.709
1990-05-01,1.323,82.161,No Data Reported,0.29,71,57.484,13.871,11.065,14.581,1.032,436.945,689.751
1990-06-01,2.9,65.733,No Data Reported,0.033,86.3,90.767,33.033,11.3,74.767,13.233,425.173,803.24
1990-07-01,0.29,75.226,No Data Reported,0.613,50.548,76.71,34.161,0.097,48.387,26.29,383.244,695.566
1990-08-01,0.161,110.032,No Data Reported,0.194,124.032,98.548,41.774,12.258,73.355,2.194,387.115,849.663
1990-09-01,3.8,86.467,No Data Reported,30.733,91.033,82,57.3,30.533,61.067,18.933,384.981,846.847
1990-10-01,1.645,109.548,No Data Reported,20,91.032,66.452,69.806,30.903,76.484,23.516,459.257,948.644
1990-11-01,0.367,133.5,No Data Reported,17.4,140.9,104.367,131.6,22.067,100.5,10.2,424.332,1085.232
1990-12-01,0.355,133.387,No Data Reported,0.29,81.581,114.581,120.645,25.839,81.258,15.29,614.191,1187.417
1991-01-01,0.677,67.903,0.032,39.129,90.129,86.29,85.419,18.903,114.129,30.903,665.499,1199.015
1991-02-01,3.929,90.179,0.107,124.107,168.071,98.643,80.429,40.929,121.536,8.643,704.326,1440.897
1991-03-01,40.161,46.097,0,27.355,87.516,113.871,12.71,21.161,69.516,10.581,514.722,943.69
1991-04-01,0.267,51.633,0,0,73.933,70.1,75.9,16.533,37.367,8.933,402.717,737.384
1991-05-01,8.935,70.968,0,9,139.065,123.194,130.065,63.613,85.065,10.484,509.051,1149.438
1991-06-01,16.433,53.167,11.567,16.2,101.733,98.733,64.433,24.1,65.667,10.7,458.745,921.478
1991-07-01,7.161,87.032,26.968,0.032,106.194,107.613,43.484,27.323,75.516,8.065,473.213,962.6
